timestamp,turbine_id,wind_speed,wind_direction,power_output,source_file
2022-03-01T00:00:00.000Z,1,11.8,169.0,2.7,file:///C:/Users/cheek/Projects/colibri_assessment/data/raw_data/data_group_1.csv
2022-03-01T01:00:00.000Z,1,11.6,152.0,4.4,file:///C:/Users/cheek/Projects/colibri_assessment/data/raw_data/data_group_1.csv
2022-03-01T02:00:00.000Z,1,13.8,73.0,2.9,file:///C:/Users/cheek/Projects/colibri_assessment/data/raw_data/data_group_1.csv
2022-03-01T03:00:00.000Z,1,10.5,61.0,1.8,file:///C:/Users/cheek/Projects/colibri_assessment/data/raw_data/data_group_1.csv
2022-03-01T04:00:00.000Z,1,9.1,209.0,2.3,file:///C:/Users/cheek/Projects/colibri_assessment/data/raw_data/data_group_1.csv
2022-03-01T05:00:00.000Z,1,12.4,116.0,2.2,file:///C:/Users/cheek/Projects/colibri_assessment/data/raw_data/data_group_1.csv
2022-03-01T06:00:00.000Z,1,9.2,97.0,4.2,file:///C:/Users/cheek/Projects/colibri_assessment/data/raw_data/data_group_1.csv
2022-03-01T07:00:00.000Z,1,10.1,87.0,4.0,file:///C:/Users/cheek/Projects/colibri_assessment/data/raw_data/data_group_1.csv
2022-03-01T08:00:00.000Z,1,12.6,150.0,1.6,file:///C:/Users/cheek/Projects/colibri_assessment/data/raw_data/data_group_1.csv
2022-03-01T09:00:00.000Z,1,9.1,31.0,2.7,file:///C:/Users/cheek/Projects/colibri_assessment/data/raw_data/data_group_1.csv
2022-03-01T10:00:00.000Z,1,9.6,127.0,2.8,file:///C:/Users/cheek/Projects/colibri_assessment/data/raw_data/data_group_1.csv
2022-03-01T11:00:00.000Z,1,12.9,348.0,4.0,file:///C:/Users/cheek/Projects/colibri_assessment/data/raw_data/data_group_1.csv
2022-03-01T12:00:00.000Z,1,11.9,93.0,2.0,file:///C:/Users/cheek/Projects/colibri_assessment/data/raw_data/data_group_1.csv
2022-03-01T13:00:00.000Z,1,11.4,289.0,3.9,file:///C:/Users/cheek/Projects/colibri_assessment/data/raw_data/data_group_1.csv
2022-03-01T14:00:00.000Z,1,9.4,316.0,3.9,file:///C:/Users/cheek/Projects/colibri_assessment/data/raw_data/data_group_1.csv
2022-03-01T15:00:00.000Z,1,9.7,135.0,2.9,file:///C:/Users/cheek/Projects/colibri_assessment/data/raw_data/data_group_1.csv
2022-03-01T16:00:00.000Z,1,12.4,289.0,2.3,file:///C:/Users/cheek/Projects/colibri_assessment/data/raw_data/data_group_1.csv
2022-03-01T17:00:00.000Z,1,11.7,253.0,4.3,file:///C:/Users/cheek/Projects/colibri_assessment/data/raw_data/data_group_1.csv
2022-03-01T18:00:00.000Z,1,10.1,240.0,1.8,file:///C:/Users/cheek/Projects/colibri_assessment/data/raw_data/data_group_1.csv
2022-03-01T19:00:00.000Z,1,14.7,131.0,2.5,file:///C:/Users/cheek/Projects/colibri_assessment/data/raw_data/data_group_1.csv
2022-03-01T20:00:00.000Z,1,9.2,300.0,3.1,file:///C:/Users/cheek/Projects/colibri_assessment/data/raw_data/data_group_1.csv
2022-03-01T21:00:00.000Z,1,10.8,328.0,2.5,file:///C:/Users/cheek/Projects/colibri_assessment/data/raw_data/data_group_1.csv
2022-03-01T22:00:00.000Z,1,13.1,286.0,2.2,file:///C:/Users/cheek/Projects/colibri_assessment/data/raw_data/data_group_1.csv
2022-03-01T23:00:00.000Z,1,13.0,52.0,4.4,file:///C:/Users/cheek/Projects/colibri_assessment/data/raw_data/data_group_1.csv
2022-03-02T00:00:00.000Z,1,10.7,101.0,3.4,file:///C:/Users/cheek/Projects/colibri_assessment/data/raw_data/data_group_1.csv
2022-03-02T01:00:00.000Z,1,14.1,272.0,2.1,file:///C:/Users/cheek/Projects/colibri_assessment/data/raw_data/data_group_1.csv
2022-03-02T02:00:00.000Z,1,13.6,152.0,2.6,file:///C:/Users/cheek/Projects/colibri_assessment/data/raw_data/data_group_1.csv
2022-03-02T03:00:00.000Z,1,10.0,256.0,4.4,file:///C:/Users/cheek/Projects/colibri_assessment/data/raw_data/data_group_1.csv
2022-03-02T04:00:00.000Z,1,14.0,8.0,3.2,file:///C:/Users/cheek/Projects/colibri_assessment/data/raw_data/data_group_1.csv
2022-03-02T05:00:00.000Z,1,11.9,220.0,2.6,file:///C:/Users/cheek/Projects/colibri_assessment/data/raw_data/data_group_1.csv
2022-03-02T06:00:00.000Z,1,11.9,36.0,4.2,file:///C:/Users/cheek/Projects/colibri_assessment/data/raw_data/data_group_1.csv
